AUTHOR	COLLABORATOR	UUIDS	MATCHSCORE	ACTUAL_COLLABORATOR	RUNNING_SCORE
Polosan M	Yamaguchi Y	a2a14e61-5304-35e8-b421-c4989b098be1	0.589772563064046	0	0.5
Polosan M	Lorist MM	9219518b-5e19-3220-bbd9-3f4ee1d5f3b7	0.591632307533364	0	0.5
Polosan M	Norbury R	1dffad0f-5b88-3424-81a0-cb109dbdb923	0.592448436854063	0	0.5
Polosan M	Hodgson TL	31a5904c-6b58-313f-a5da-8d96764edc64	0.592665630924521	0	0.5
Polosan M	Chan CC	8aae02d6-a8b9-3d94-ad61-b620ed68cf40	0.593107841747841	0	0.5
Polosan M	Himmelbach M	e554cd84-b5df-3c9f-8fba-0f70951759e5	0.594905060971812	0	0.5
Polosan M	Zhang Q	0b539050-527a-344b-b2a5-4ef53096aa51	0.595548994433304	0	0.5
Polosan M	Yu R	87044039-5b4f-325f-84ca-d76d80a8e92f	0.59991737263394	0	0.5
Polosan M	Marchetti A	97bee661-cc76-3e44-a41d-e7b6aaeef0a0	0.601086998182198	0	0.5
Polosan M	Schmitt JA	362e3bd6-2c0c-3850-8355-b7384237ea76	0.601096815129295	0	0.5
Polosan M	Kourtzi Z	1a78217f-f491-386d-851d-9660ff82d4f7	0.606570434338461	0	0.5
Polosan M	Cinciripini PM	8b5eebdd-44d6-3b6f-aaf3-f37de25dc855	0.609373704923662	0	0.5
Polosan M	Burgess N	71e9e9d9-c437-3e98-ac6a-bbe0b09f0562	0.609968039898776	0	0.5
Polosan M	Burger KS	015982b7-a835-3f39-be0f-3243a232ae69	0.610133013366483	0	0.5
Polosan M	McCrea SM	c92b9154-15fb-3db4-b762-e54929eddfb6	0.610827279796397	0	0.5
Polosan M	Watts R	a61ece7a-6eb3-32a6-abd9-e269977adb19	0.611424817776665	0	0.5
Polosan M	Axmacher N	026f1a75-2453-3740-863e-af531d96ecb2	0.613799549296965	0	0.5
Polosan M	Ushida T	b5d2ae36-10c1-39a0-9082-9bf3ac80f286	0.617094069447048	0	0.5
Polosan M	Epstein RA	ede533a0-3b33-359b-92f8-5766e6b02df1	0.61853336704272	0	0.5
Polosan M	Dumas JA	99659da8-d93e-388d-960e-105324160830	0.619234384444009	0	0.5
Polosan M	Newhouse PA	e3454f6f-884b-3517-873e-9583badc7952	0.619234384444009	0	0.5
Polosan M	Dolan R	3e8125af-e5cb-3f5b-9133-a737131e3ee5	0.619466755636721	0	0.5
Polosan M	Cutting LE	35e0a3e8-b460-3891-bf8e-cca83bafd9e2	0.620138528574545	0	0.5
Polosan M	Cohen NJ	0d606d7c-976d-355a-ada2-41a8f069a668	0.623545692136235	0	0.5
Polosan M	Heitzeg M	99f6fa4d-9e51-3ab0-947b-11a10f56fe6f	0.624528450468046	0	0.5
Polosan M	Umeda S	0128c76d-6a74-3693-b94a-8ab9e47716db	0.624549453065181	0	0.5
Polosan M	Dunbar KN	9e6d30ba-9965-3020-820d-addcbe1f112e	0.62817050802032	0	0.5
Polosan M	Gomot M	1dfe3899-4c4e-3c6e-9434-bdafe393660b	0.628746338283004	0	0.5
Polosan M	Umilta MA	c1e5f6fa-d31e-3cb8-a467-bcb2858032c2	0.629922297402203	0	0.5
Polosan M	Fransson P	e689ed9d-0571-3150-a190-6dde901db81c	0.631173813935579	0	0.5
Polosan M	Tulving E	4b7f770e-e4f2-3ac3-9f99-05f5c9c9af68	0.631663386599767	0	0.5
Polosan M	Preston AR	f41a7883-7032-349e-9bfb-03707eb3f99d	0.634509450707619	0	0.5
Polosan M	Huang J	2b463c9f-9be2-33a2-ac18-9fe9a9224859	0.636720812639558	0	0.5
Polosan M	Lennert T	23af3c7d-184d-33f6-a479-6da3cc04c4fc	0.636799542276832	0	0.5
Polosan M	Higgins JS	120ad8d7-6c7e-322d-b5bc-948770efa619	0.637908978580753	0	0.5
Polosan M	Holcomb PJ	b10319d1-2ebf-39ce-897a-9f8beffd82d8	0.638261378963133	0	0.5
Polosan M	Kim SJ	0be47cc6-4f00-32ae-bf7d-6d9b8282b236	0.639204820617329	0	0.5
Polosan M	Levin Y	7de818ad-99d3-3e6b-ab01-3270286cc355	0.641883076497169	0	0.5
Polosan M	Fell J	68afb687-b3e9-3e9f-a85c-f80d653c2c7c	0.641954801795565	0	0.5
Polosan M	Anderson CW	ad7c6c75-9c5f-36c9-bb65-458fb77fae19	0.648274125165768	0	0.5
Polosan M	Spalletta G	dcf9f550-2ce4-3ae2-a7f6-df8d268447bc	0.65055379580913	0	0.5
Polosan M	Canive JM	92ed903b-4a08-3028-b700-dfc5178e0979	0.65198037210563	0	0.5
Polosan M	Ng C	d85bb483-72b8-36a8-8862-7b48e8c77273	0.660116541871303	0	0.5
Polosan M	Heun R	0a87e86c-3d9b-37d4-b71f-fbee9a587e58	0.660420548886338	0	0.5
Polosan M	Reuter-Lorenz PA	5e231b0b-d4c1-38ed-bb65-928fa08c1529	0.66113821629669	0	0.5
Polosan M	Prasad KM	9b804226-0d69-3cbd-a9f7-293e1d6a5f9e	0.661449466256857	0	0.5
Polosan M	Scholte HS	4413e668-db96-3965-bed2-991af921fed6	0.662964645852267	0	0.5
Polosan M	Caramazza A	37c3e163-a76d-3c4f-ab4c-09172e694b62	0.663228323047346	0	0.5
Polosan M	Tanabe JL	f6eac995-2ea2-3011-8c55-408737d252e5	0.667605034700873	0	0.5
Polosan M	Yokum S	b6df54db-a525-3a5f-a0da-8e8a29266825	0.668780814360847	0	0.5
Polosan M	Artsy E	88a90592-8615-3a6b-b78d-28831fefed1a	0.669495575199398	0	0.5
Polosan M	Thomason ME	e1b84640-9d01-3c46-a534-eb858a1ab72b	0.669642628884483	0	0.5
Polosan M	Ekstrom A	7dba34d9-524c-3e9e-af4b-e4d2e6fb8a78	0.671030661693374	0	0.5
Polosan M	Liu TT	ccc750d2-14a1-3822-9019-ca371e04976e	0.671118052218328	0	0.5
Polosan M	Henson RN	1dd5925a-bd63-351f-a8db-4de79fc145d9	0.671457095433096	0	0.5
Polosan M	Bredart S	b58dfff6-5d5f-3e62-b6f2-fe5c4e31b68d	0.672209612214045	0	0.5
Polosan M	McMahon KL	7f0c42b8-e977-3d59-8c37-1fc19e493a57	0.673190335379517	0	0.5
Polosan M	Baron JC	53aa0fc2-f142-3679-9e12-454d9c80627d	0.673789678718835	0	0.5
Polosan M	Zhang X	20404204-9b70-35b1-bb1b-fe6664b008b1	0.673867115856637	0	0.5
Polosan M	Loenneker T	854667e1-4847-33d1-9cbc-b05e24a604a9	0.674407243640429	0	0.5
Polosan M	Sachdev P	02fb383a-f7ab-3a23-a8f2-5e73d8d87aa0	0.674604583115042	0	0.5
Polosan M	Fiske ST	b210ef8c-c6c6-3130-ba1c-d64139354590	0.676986289035527	0	0.5
Polosan M	Bi HY	08ecd9c8-6bb9-3e9b-868a-a78e9659487e	0.677493513408432	0	0.5
Polosan M	Craik FI	c2029ea8-b650-3fb8-8c0e-9e667f4c06cd	0.677552683780904	0	0.5
Polosan M	Stice E	d06bb783-ab4d-32cb-8a29-af1dba564c51	0.677612044571732	0	0.5
Polosan M	Bulbena A	839d707a-6694-3e79-8f0c-e65aeaa94e2d	0.677927240254528	0	0.5
