AUTHOR	COAUTHORS	PMID	TITLE	JOURNAL	YEAR	DOI	X	Y	Z
0a3e1acd-c5cc-3a6c-9cd0-81e9cf9596de	Burton H, Agato A, Sinclair RJ	22154406	Repetition learning of vibrotactile temporal sequences: an fMRI study in blind and sighted individuals.	Brain research	2012	10.1016/j.brainres.2011.11.039	-3.0	-93.0	4.0
0a3e1acd-c5cc-3a6c-9cd0-81e9cf9596de	Burton H, Agato A, Sinclair RJ	22154406	Repetition learning of vibrotactile temporal sequences: an fMRI study in blind and sighted individuals.	Brain research	2012	10.1016/j.brainres.2011.11.039	7.0	-76.0	6.0
0a3e1acd-c5cc-3a6c-9cd0-81e9cf9596de	Burton H, Agato A, Sinclair RJ	22154406	Repetition learning of vibrotactile temporal sequences: an fMRI study in blind and sighted individuals.	Brain research	2012	10.1016/j.brainres.2011.11.039	-5.0	-94.0	13.0
0a3e1acd-c5cc-3a6c-9cd0-81e9cf9596de	Burton H, Agato A, Sinclair RJ	22154406	Repetition learning of vibrotactile temporal sequences: an fMRI study in blind and sighted individuals.	Brain research	2012	10.1016/j.brainres.2011.11.039	12.0	-90.0	17.0
0a3e1acd-c5cc-3a6c-9cd0-81e9cf9596de	Burton H, Agato A, Sinclair RJ	22154406	Repetition learning of vibrotactile temporal sequences: an fMRI study in blind and sighted individuals.	Brain research	2012	10.1016/j.brainres.2011.11.039	-20.0	-88.0	19.0
0a3e1acd-c5cc-3a6c-9cd0-81e9cf9596de	Burton H, Agato A, Sinclair RJ	22154406	Repetition learning of vibrotactile temporal sequences: an fMRI study in blind and sighted individuals.	Brain research	2012	10.1016/j.brainres.2011.11.039	21.0	-90.0	20.0
0a3e1acd-c5cc-3a6c-9cd0-81e9cf9596de	Burton H, Agato A, Sinclair RJ	22154406	Repetition learning of vibrotactile temporal sequences: an fMRI study in blind and sighted individuals.	Brain research	2012	10.1016/j.brainres.2011.11.039	26.0	-83.0	18.0
0a3e1acd-c5cc-3a6c-9cd0-81e9cf9596de	Burton H, Agato A, Sinclair RJ	22154406	Repetition learning of vibrotactile temporal sequences: an fMRI study in blind and sighted individuals.	Brain research	2012	10.1016/j.brainres.2011.11.039	-18.0	-70.0	-12.0
0a3e1acd-c5cc-3a6c-9cd0-81e9cf9596de	Burton H, Agato A, Sinclair RJ	22154406	Repetition learning of vibrotactile temporal sequences: an fMRI study in blind and sighted individuals.	Brain research	2012	10.1016/j.brainres.2011.11.039	26.0	-60.0	-7.0
0a3e1acd-c5cc-3a6c-9cd0-81e9cf9596de	Burton H, Agato A, Sinclair RJ	22154406	Repetition learning of vibrotactile temporal sequences: an fMRI study in blind and sighted individuals.	Brain research	2012	10.1016/j.brainres.2011.11.039	-30.0	-61.0	-16.0
